"positive_count","negative_count","label"
25968,15766,"hm_cluster1"
33412,12844,"hm_cluster1"
27427,19554,"hm_cluster1"
28289,17087,"hm_cluster1"
28006,18296,"hm_cluster1"
20705,15322,"hm_cluster1"
26005,15986,"hm_cluster1"
24283,14476,"hm_cluster1"
25120,14379,"hm_cluster1"
21786,14564,"hm_cluster1"
23994,15114,"hm_cluster1"
24437,15823,"hm_cluster1"
32167,20946,"hm_cluster1"
27716,18739,"hm_cluster1"
27807,20305,"hm_cluster1"
29639,16409,"hm_cluster1"
26930,15952,"hm_cluster1"
27766,17689,"hm_cluster1"
28746,15546,"hm_cluster1"
28716,18126,"hm_cluster1"
28783,15017,"hm_cluster1"
27118,16857,"hm_cluster1"
28505,15625,"hm_cluster1"
33351,17211,"hm_cluster1"
32797,13549,"hm_cluster1"
25140,14095,"hm_cluster1"
25348,16803,"hm_cluster1"
30909,15382,"hm_cluster1"
30972,17087,"hm_cluster1"
32298,18174,"hm_cluster1"
30908,15985,"hm_cluster1"
23773,11466,"hm_cluster1"
31091,18328,"hm_cluster1"
19618,16832,"hm_cluster1"
27089,20510,"hm_cluster1"
30022,15173,"hm_cluster1"
24780,14144,"hm_cluster1"
21982,13827,"hm_cluster1"
24022,16979,"hm_cluster1"
29345,19302,"hm_cluster1"
22674,12730,"hm_cluster1"
29867,19552,"hm_cluster1"
30794,15440,"hm_cluster1"
29810,15688,"hm_cluster1"
28213,18503,"hm_cluster1"
28338,17737,"hm_cluster1"
25238,13923,"hm_cluster1"
23227,11277,"hm_cluster1"
22033,20269,"hm_cluster1"
